Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Codes
are ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
be ruled out	INDICATION		backward				
being ruled out	INDICATION		backward				
can be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
cannot be excluded	AMBIVALENT_EXISTENCE		backward				
cannot totally be excluded	PROBABLE_NEGATED_EXISTENCE		backward				
could be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
examination	INDICATION	\b(examination|exam|study)\b	backward				
free	DEFINITE_NEGATED_EXISTENCE		backward				
has been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
have been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
is in the differential	AMBIVALENT_EXISTENCE	is\sin\sthe\sdifferential	backward				
is negative	DEFINITE_NEGATED_EXISTENCE	(is|was) negative	backward				
is not excluded	AMBIVALENT_EXISTENCE	(is|was|are|were)\snot\sexcluded	backward				
is not entirely excluded	PROBABLE_NEGATED_EXISTENCE	(is|was|are|were|does)\snot\s(entirely|totally|definitely|completely\s) excluded	backward	2/28/2013	added definitely	removed ed	
is present	DEFINITE_EXISTENCE	(is|are) present	backward	4/29/2013			
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
is to be ruled out	INDICATION		backward				
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
might be ruled out	PROBABLE_NEGATED_EXISTENCE		backward				
must be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
not been ruled out	INDICATION		backward				
not definitively seen	PROBABLE_NEGATED_EXISTENCE	not definitively (seen|visualized)	backward	3/22/2013			
not excluded	AMBIVALENT_EXISTENCE	not\s(excluded|ruled\sout)	backward				
now measuring	HISTORICAL		backward				
ought to be ruled out	INDICATION		backward				
progressed	HISTORICAL		backward	3/22/2013			
protocol	INDICATION		backward				
resolved	HISTORICAL		backward				
should be ruled out	INDICATION		backward				
suspected	PROBABLE_EXISTENCE		backward	4/29/2013			
unlikely	DEFINITE_NEGATED_EXISTENCE		bidirectional				
varying ages	HISTORICAL		backward				
was ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
will be ruled out	INDICATION		backward				
would not be expected	PROBABLE_NEGATED_EXISTENCE		backward	2/28/2013			
acute	ACUTE		bidirectional				
again	HISTORICAL		bidirectional				
age indeterminate	HISTORICAL		bidirectional				
appear	PROBABLE_EXISTENCE	(\bappear\b|\bappears\b)	bidirectional				
cannot be completely excluded	PROBABLE_NEGATED_EXISTENCE	cannot\sbe\s((entirely|completely|totally)\s)?(excluded|ruled out)	bidirectional	2/28/2013			
cannot be evaluated	AMBIVALENT_EXISTENCE		bidirectional	2/28/2013			
chronic	HISTORICAL	\bchronic[a-z]*\b	bidirectional	2/28/2013	chronicity: make regular expression to capture variations		
clear	PROBABLE_NEGATED_EXISTENCE		bidirectional				
diminished	HISTORICAL		bidirectional				
equivocal	PROBABLE_EXISTENCE		bidirectional				
evaluation	INDICATION		bidirectional				
evolving	HISTORICAL		bidirectional				
healing	HISTORICAL	\b(healing|healed)\b	bidirectional				
improved	HISTORICAL	improved|improving|improvement	bidirectional			4/2013	
incompletely evaluated	AMBIVALENT_EXISTENCE		bidirectional	4/29/2013			
interval change	HISTORICAL		bidirectional				
interval increase	HISTORICAL	(interval)\b[\d\D\s]*increase	bidirectional	4/29/2013			
less likely	AMBIVALENT_EXISTENCE		bidirectional	4/29/2013			
likely	PROBABLE_EXISTENCE		bidirectional				
likely chronic	HISTORICAL		bidirectional	2/28/2013	thought of just changing chronic to bidirectional	 but also capture likely	
may be ruled out	DEFINITE_NEGATED_EXISTENCE		bidirectional				
new	ACUTE		bidirectional				
new from prior exam	ACUTE	new from(\sthe)? prior (exam|study)	bidirectional				
no change in	HISTORICAL	(no(t)? ([a-zA-z] )?change(d)?( in)?)	bidirectional	2/28/2013		4/15/2013	
no longer noted	DEFINITE_NEGATED_EXISTENCE	no longer (seen|noted|visualized)	bidirectional				
not	DEFINITE_NEGATED_EXISTENCE	\bnot\b	bidirectional	3/23/2013			
not significantly changed	HISTORICAL		bidirectional				
old	HISTORICAL		bidirectional				
on previous exam	HISTORICAL	(on |from )?(previous|prior) exam	bidirectional	need regular expression			
persistent	HISTORICAL		bidirectional				
possible	PROBABLE_EXISTENCE		bidirectional	2/28/2013			
previous	HISTORICAL		bidirectional	3/21/2013	changed to bidirectional		
previously described	HISTORICAL	previously (described|suspected)	bidirectional	3/21/2013		3/22/2013	
prior	HISTORICAL		bidirectional				
prior study	HISTORICAL		bidirectional				
probable	PROBABLE_EXISTENCE		bidirectional	3/21/2013			
questionable	PROBABLE_NEGATED_EXISTENCE		bidirectional	4/29/2013			
ruled out	DEFINITE_NEGATED_EXISTENCE		bidirectional				
should be considered	PROBABLE_EXISTENCE		bidirectional				
stable	HISTORICAL		bidirectional				
still evident	HISTORICAL		bidirectional	4/29/2013			
subacute	HISTORICAL		bidirectional				
suggest	PROBABLE_EXISTENCE	\bsuggest[a-z]+\b	bidirectional				
unchanged	HISTORICAL	unchanged|unchanging	bidirectional				
versus	AMBIVALENT_EXISTENCE		bidirectional				
absence of	DEFINITE_NEGATED_EXISTENCE		forward				
adequate to rule the patient out	DEFINITE_NEGATED_EXISTENCE		forward				
appears to be	DEFINITE_EXISTENCE		forward				
assessment for	INDICATION		forward				
at risk for	FUTURE	(at\s)?risk\s(in\sthe\sfuture\s)?(for|of)	forward	4/29/2013			
atypical for	PROBABLE_NEGATED_EXISTENCE		forward	4/29/2013			
be ruled out for	INDICATION		forward				
can be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
can rule the patient out	DEFINITE_NEGATED_EXISTENCE	can rule (her|him|the patient) out	forward				
cannot	AMBIVALENT_EXISTENCE		forward				
cannot exclude	AMBIVALENT_EXISTENCE	cannot\sexclude	forward				
cannot see	AMBIVALENT_EXISTENCE		forward				
cannot totally exclude	PROBABLE_NEGATED_EXISTENCE		forward				
change in	HISTORICAL		forward				
changing	HISTORICAL		forward				
checked for	PROBABLE_EXISTENCE		forward				
clinical concern	FUTURE	clinical (concern|suspicion)\b	forward	2/28/2013	simplified expression 		
clinical history	HISTORICAL		forward				
compatible with	DEFINITE_EXISTENCE		forward				
concerning for	PROBABLE_EXISTENCE		forward				
consistent with	DEFINITE_EXISTENCE		forward	2/14/2013			
convincing	DEFINITE_EXISTENCE		forward				
could be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
declined	DEFINITE_NEGATED_EXISTENCE		forward				
declines	PROBABLE_NEGATED_EXISTENCE		forward				
decrease in	HISTORICAL		forward		make regular expression to capture variations		
decrease in	HISTORICAL		forward				
definite	DEFINITE_EXISTENCE		forward				
denied	PROBABLE_NEGATED_EXISTENCE		forward				
denies	PROBABLE_NEGATED_EXISTENCE		forward				
deny	PROBABLE_NEGATED_EXISTENCE		forward				
denying	PROBABLE_NEGATED_EXISTENCE		forward				
did rule (the patient|him|her) out	DEFINITE_NEGATED_EXISTENCE		forward				
did rule out	DEFINITE_NEGATED_EXISTENCE		forward				
differential diagnosis would include	AMBIVALENT_EXISTENCE	differential\s((diagnosis|considerations)\s)?((would|could)\sinclud[a-z]*)?	forward				
documented	HISTORICAL		forward				
evaluate for	INDICATION		forward				
evaluation of	INDICATION	evaluation\s(of|for)	forward				
evidence	DEFINITE_EXISTENCE		forward				
did rule her out against	DEFINITE_NEGATED_EXISTENCE		forward				
examination for	INDICATION	(study|exam|examination) for	forward				
fails to reveal	DEFINITE_NEGATED_EXISTENCE		forward				
free of	DEFINITE_NEGATED_EXISTENCE		forward				
gram negative	PSEUDONEG		forward				
higher sensitivity for	INDICATION		forward	2/28/2013			
highly suggestive	DEFINITE_EXISTENCE		forward	4/29/2013			
history of	HISTORICAL		forward				
if there are	FUTURE		forward	2/28/2013			
if there is concern for	FUTURE		forward				
is to be ruled out for	INDICATION		forward				
is more sensitive	INDICATION	is more sensitive	forward				
known	HISTORICAL	\bknown\b	forward				
low probability	PROBABLE_NEGATED_EXISTENCE		forward				
may be related	PROBABLE_EXISTENCE		forward	2/28/2013			
may represent	PROBABLE_EXISTENCE	(may|might)\s(represent|reflect)	forward				
might be ruled out for	PROBABLE_NEGATED_EXISTENCE		forward				
mimicking	PROBABLE_NEGATED_EXISTENCE		forward	3/22/2013			
must be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
negative examination for	DEFINITE_NEGATED_EXISTENCE	negative (examination|study|exam|evaluation) for	forward				
negative for	DEFINITE_NEGATED_EXISTENCE		forward				
