Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Codes
although	CONJ		terminate
apart from	CONJ		terminate
as a cause for	CONJ		terminate
as a cause of	CONJ		terminate
as a etiology for	CONJ		terminate
as a etiology of	CONJ		terminate
as a reason for	CONJ		terminate
as a reason of	CONJ		terminate
as a secondary cause for	CONJ		terminate
as a secondary cause of	CONJ		terminate
as a secondary etiology for	CONJ		terminate
as a secondary etiology of	CONJ		terminate
as a secondary origin for	CONJ		terminate
as a secondary origin of	CONJ		terminate
as a secondary reason for	CONJ		terminate
as a secondary reason of	CONJ		terminate
as a secondary source for	CONJ		terminate
as a secondary source of	CONJ		terminate
as a source for	CONJ		terminate
as a source of	CONJ		terminate
as an cause for	CONJ		terminate
as an cause of	CONJ		terminate
as an etiology for	CONJ		terminate
as an etiology of	CONJ		terminate
as an origin for	CONJ		terminate
as an origin of	CONJ		terminate
as an reason for	CONJ		terminate
as an reason of	CONJ		terminate
as an secondary cause for	CONJ		terminate
as an secondary cause of	CONJ		terminate
as an secondary etiology for	CONJ		terminate
as an secondary etiology of	CONJ		terminate
as an secondary origin for	CONJ		terminate
as an secondary origin of	CONJ		terminate
as an secondary reason for	CONJ		terminate
as an secondary reason of	CONJ		terminate
as an secondary source for	CONJ		terminate
as an secondary source of	CONJ		terminate
as an source for	CONJ		terminate
as an source of	CONJ		terminate
as the cause for	CONJ		terminate
as the cause of	CONJ		terminate
as the etiology for	CONJ		terminate
as the etiology of	CONJ		terminate
as the origin for	CONJ		terminate
as the origin of	CONJ		terminate
as the reason for	CONJ		terminate
as the reason of	CONJ		terminate
as the secondary cause for	CONJ		terminate
as the secondary cause of	CONJ		terminate
as the secondary etiology for	CONJ		terminate
as the secondary etiology of	CONJ		terminate
as the secondary origin for	CONJ		terminate
as the secondary origin of	CONJ		terminate
as the secondary reason for	CONJ		terminate
as the secondary reason of	CONJ		terminate
as the secondary source for	CONJ		terminate
as the secondary source of	CONJ		terminate
as the source for	CONJ		terminate
as the source of	CONJ		terminate
as there are 	CONJ		terminate	2/14/2013
aside from	CONJ		terminate
but	CONJ		terminate
cause for	CONJ		terminate
cause of	CONJ		terminate
causes for	CONJ		terminate
causes of	CONJ		terminate
etiology for	CONJ		terminate
etiology of	CONJ		terminate
except	CONJ		terminate
however	CONJ		terminate
involving	CONJ		terminate
nevertheless	CONJ		terminate
origin for	CONJ		terminate
origin of	CONJ		terminate
origins for	CONJ		terminate
origins of	CONJ		terminate
other possibilities of	CONJ		terminate
reason for	CONJ		terminate
reason of	CONJ		terminate
reasons for	CONJ		terminate
reasons of	CONJ		terminate
secondary to	CONJ		terminate
source for	CONJ		terminate
source of	CONJ		terminate
sources for	CONJ		terminate
sources of	CONJ		terminate
still	CONJ		terminate
though	CONJ		terminate
trigger event for	CONJ		terminate
which	CONJ		terminate
yet	CONJ		terminate
